[hunt] up to 1.000e+12 | primes=37987 t1=21467 t2=9083 residual=7437 | 0.1s
[hunt] up to 1.000e+12 | primes=76143 t1=42851 t2=18312 residual=14980 | 0.2s
[hunt] up to 1.000e+12 | primes=114275 t1=64307 t2=27650 residual=22318 | 0.3s
[hunt] up to 1.000e+12 | primes=152127 t1=85572 t2=36719 residual=29836 | 0.4s
[hunt] up to 1.000e+12 | primes=189995 t1=106858 t2=45806 residual=37331 | 0.5s
[hunt] up to 1.000e+12 | primes=228039 t1=128269 t2=54928 residual=44842 | 0.7s
[hunt] up to 1.000e+12 | primes=266096 t1=149857 t2=63873 residual=52366 | 0.8s
[hunt] up to 1.000e+12 | primes=303772 t1=171154 t2=72834 residual=59784 | 0.9s
[hunt] up to 1.000e+12 | primes=341740 t1=192385 t2=81986 residual=67369 | 1.0s
[hunt] up to 1.000e+12 | primes=379664 t1=213724 t2=91040 residual=74900 | 1.1s
[hunt] up to 1.000e+12 | primes=417463 t1=235045 t2=100042 residual=82376 | 1.2s
[hunt] up to 1.000e+12 | primes=455534 t1=256531 t2=109107 residual=89896 | 1.3s
[hunt] up to 1.000e+12 | primes=493637 t1=278010 t2=118241 residual=97386 | 1.4s
[hunt] up to 1.000e+12 | primes=531679 t1=299418 t2=127313 residual=104948 | 1.5s
[hunt] up to 1.001e+12 | primes=569691 t1=320811 t2=136370 residual=112510 | 1.6s
[hunt] up to 1.001e+12 | primes=607687 t1=342212 t2=145532 residual=119943 | 1.7s
[hunt] up to 1.001e+12 | primes=645671 t1=363558 t2=154545 residual=127568 | 1.8s
[hunt] up to 1.001e+12 | primes=683464 t1=384996 t2=163319 residual=135149 | 2.0s
[hunt] up to 1.001e+12 | primes=721350 t1=406157 t2=172471 residual=142722 | 2.1s
[hunt] up to 1.001e+12 | primes=759161 t1=427438 t2=181532 residual=150191 | 2.2s
[hunt] up to 1.001e+12 | primes=797037 t1=448723 t2=190494 residual=157820 | 2.3s
[hunt] up to 1.001e+12 | primes=835148 t1=470073 t2=199614 residual=165461 | 2.4s
[hunt] up to 1.001e+12 | primes=873226 t1=491445 t2=208853 residual=172928 | 2.5s
[hunt] up to 1.001e+12 | primes=911075 t1=512605 t2=217987 residual=180483 | 2.6s
[hunt] up to 1.001e+12 | primes=948873 t1=533720 t2=227158 residual=187995 | 2.7s
[hunt] up to 1.001e+12 | primes=986786 t1=555136 t2=236156 residual=195494 | 2.8s
[hunt] up to 1.001e+12 | primes=1024858 t1=576617 t2=245241 residual=203000 | 2.9s
[hunt] up to 1.001e+12 | primes=1062648 t1=597768 t2=254385 residual=210495 | 3.0s
[hunt] up to 1.001e+12 | primes=1100381 t1=619040 t2=263294 residual=218047 | 3.1s
[hunt] up to 1.001e+12 | primes=1138239 t1=640345 t2=272364 residual=225530 | 3.3s
[hunt] up to 1.001e+12 | primes=1176189 t1=661687 t2=281452 residual=233050 | 3.4s
[hunt] up to 1.001e+12 | primes=1214231 t1=683052 t2=290555 residual=240624 | 3.5s
[hunt] up to 1.001e+12 | primes=1252043 t1=704131 t2=299686 residual=248226 | 3.6s
[hunt] up to 1.001e+12 | primes=1289979 t1=725513 t2=308680 residual=255786 | 3.7s
[hunt] up to 1.001e+12 | primes=1327623 t1=746599 t2=317642 residual=263382 | 3.8s
[hunt] up to 1.001e+12 | primes=1365510 t1=768034 t2=326613 residual=270863 | 3.9s
[hunt] up to 1.001e+12 | primes=1403487 t1=789416 t2=335782 residual=278289 | 4.0s
[hunt] up to 1.001e+12 | primes=1441482 t1=810695 t2=344864 residual=285923 | 4.1s
[hunt] up to 1.001e+12 | primes=1479323 t1=831943 t2=353936 residual=293444 | 4.2s
[hunt] up to 1.001e+12 | primes=1517268 t1=853208 t2=363064 residual=300996 | 4.3s
[hunt] up to 1.001e+12 | primes=1555103 t1=874429 t2=372104 residual=308570 | 4.4s
[hunt] up to 1.001e+12 | primes=1593111 t1=895845 t2=381120 residual=316146 | 4.5s
[hunt] up to 1.001e+12 | primes=1631607 t1=917503 t2=390406 residual=323698 | 4.7s
[hunt] up to 1.001e+12 | primes=1669801 t1=939008 t2=399410 residual=331383 | 4.8s
[hunt] up to 1.002e+12 | primes=1707725 t1=960336 t2=408503 residual=338886 | 4.9s
[hunt] up to 1.002e+12 | primes=1745745 t1=981797 t2=417611 residual=346337 | 5.0s
[hunt] up to 1.002e+12 | primes=1783748 t1=1003193 t2=426731 residual=353824 | 5.1s
[hunt] up to 1.002e+12 | primes=1821801 t1=1024696 t2=435837 residual=361268 | 5.2s
[hunt] up to 1.002e+12 | primes=1859891 t1=1046320 t2=444881 residual=368690 | 5.3s
[hunt] up to 1.002e+12 | primes=1897751 t1=1067535 t2=454054 residual=376162 | 5.4s
[hunt] up to 1.002e+12 | primes=1935710 t1=1088875 t2=463160 residual=383675 | 5.5s
[hunt] up to 1.002e+12 | primes=1973748 t1=1110295 t2=472351 residual=391102 | 5.6s
[hunt] up to 1.002e+12 | primes=2011762 t1=1131573 t2=481507 residual=398682 | 5.7s
[hunt] up to 1.002e+12 | primes=2049540 t1=1152848 t2=490561 residual=406131 | 5.9s
[hunt] up to 1.002e+12 | primes=2087542 t1=1174287 t2=499589 residual=413666 | 6.0s
[hunt] up to 1.002e+12 | primes=2125560 t1=1195697 t2=508674 residual=421189 | 6.1s
[hunt] up to 1.002e+12 | primes=2163354 t1=1217057 t2=517677 residual=428620 | 6.2s
[hunt] up to 1.002e+12 | primes=2201083 t1=1238402 t2=526598 residual=436083 | 6.3s
[hunt] up to 1.002e+12 | primes=2238808 t1=1259676 t2=535727 residual=443405 | 6.4s
[hunt] up to 1.002e+12 | primes=2276717 t1=1281008 t2=544789 residual=450920 | 6.5s
[hunt] up to 1.002e+12 | primes=2314435 t1=1302382 t2=553698 residual=458355 | 6.6s
[hunt] up to 1.002e+12 | primes=2352324 t1=1323686 t2=562763 residual=465875 | 6.7s
[hunt] up to 1.002e+12 | primes=2390274 t1=1345062 t2=571786 residual=473426 | 6.8s
[hunt] up to 1.002e+12 | primes=2428171 t1=1366375 t2=580897 residual=480899 | 6.9s
[hunt] up to 1.002e+12 | primes=2466135 t1=1387804 t2=589966 residual=488365 | 7.0s
[hunt] up to 1.002e+12 | primes=2504073 t1=1409222 t2=599091 residual=495760 | 7.2s
[hunt] up to 1.002e+12 | primes=2541804 t1=1430396 t2=608182 residual=503226 | 7.3s
[hunt] up to 1.002e+12 | primes=2579646 t1=1451676 t2=617293 residual=510677 | 7.4s
[hunt] up to 1.002e+12 | primes=2617592 t1=1472881 t2=626418 residual=518293 | 7.5s
[hunt] up to 1.002e+12 | primes=2655533 t1=1494325 t2=635394 residual=525814 | 7.6s
[hunt] up to 1.002e+12 | primes=2693456 t1=1515708 t2=644456 residual=533292 | 7.7s
[hunt] up to 1.002e+12 | primes=2731295 t1=1537151 t2=653335 residual=540809 | 7.8s
[hunt] up to 1.002e+12 | primes=2769259 t1=1558536 t2=662423 residual=548300 | 7.9s
[hunt] up to 1.002e+12 | primes=2807349 t1=1579982 t2=671509 residual=555858 | 8.0s
[hunt] up to 1.003e+12 | primes=2845041 t1=1601329 t2=680489 residual=563223 | 8.1s
[hunt] up to 1.003e+12 | primes=2882814 t1=1622649 t2=689493 residual=570672 | 8.2s
[hunt] up to 1.003e+12 | primes=2920932 t1=1644104 t2=698490 residual=578338 | 8.4s
[hunt] up to 1.003e+12 | primes=2959059 t1=1665611 t2=707554 residual=585894 | 8.5s
[hunt] up to 1.003e+12 | primes=2997187 t1=1687096 t2=716675 residual=593416 | 8.6s
[hunt] up to 1.003e+12 | primes=3035223 t1=1708344 t2=725719 residual=601160 | 8.7s
[hunt] up to 1.003e+12 | primes=3073084 t1=1729760 t2=734605 residual=608719 | 8.8s
[hunt] up to 1.003e+12 | primes=3110931 t1=1750954 t2=743667 residual=616310 | 8.9s
[hunt] up to 1.003e+12 | primes=3149013 t1=1772355 t2=752759 residual=623899 | 9.0s
