[hunt] up to 1.000e+16 | primes=28726 t1=16417 t2=6777 residual=5532 | 0.1s
[hunt] up to 1.000e+16 | primes=56822 t1=32533 t2=13439 residual=10850 | 0.2s
[hunt] up to 1.000e+16 | primes=85351 t1=48858 t2=20307 residual=16186 | 0.3s
[hunt] up to 1.000e+16 | primes=113968 t1=65200 t2=27131 residual=21637 | 0.4s
[hunt] up to 1.000e+16 | primes=142366 t1=81420 t2=33859 residual=27087 | 0.4s
[hunt] up to 1.000e+16 | primes=170849 t1=97578 t2=40692 residual=32579 | 0.5s
[hunt] up to 1.000e+16 | primes=199437 t1=113920 t2=47641 residual=37876 | 0.6s
[hunt] up to 1.000e+16 | primes=228213 t1=130374 t2=54578 residual=43261 | 0.7s
[hunt] up to 1.000e+16 | primes=256687 t1=146599 t2=61400 residual=48688 | 0.8s
[hunt] up to 1.000e+16 | primes=285374 t1=163088 t2=68233 residual=54053 | 0.9s
[hunt] up to 1.000e+16 | primes=313932 t1=179421 t2=75063 residual=59448 | 1.0s
[hunt] up to 1.000e+16 | primes=342315 t1=195676 t2=81854 residual=64785 | 1.1s
[hunt] up to 1.000e+16 | primes=370681 t1=211973 t2=88676 residual=70032 | 1.1s
[hunt] up to 1.000e+16 | primes=399207 t1=228372 t2=95381 residual=75454 | 1.2s
[hunt] up to 1.000e+16 | primes=427915 t1=244937 t2=102124 residual=80854 | 1.3s
[hunt] up to 1.000e+16 | primes=456291 t1=261130 t2=108875 residual=86286 | 1.4s
[hunt] up to 1.000e+16 | primes=484838 t1=277406 t2=115607 residual=91825 | 1.5s
[hunt] up to 1.000e+16 | primes=513323 t1=293659 t2=122458 residual=97206 | 1.6s
[hunt] up to 1.000e+16 | primes=541997 t1=310032 t2=129263 residual=102702 | 1.7s
[hunt] up to 1.000e+16 | primes=570467 t1=326251 t2=136059 residual=108157 | 1.8s
[hunt] up to 1.000e+16 | primes=598936 t1=342551 t2=142839 residual=113546 | 1.9s
[hunt] up to 1.000e+16 | primes=627517 t1=358874 t2=149665 residual=118978 | 1.9s
[hunt] up to 1.000e+16 | primes=655950 t1=375095 t2=156433 residual=124422 | 2.0s
[hunt] up to 1.000e+16 | primes=684344 t1=391221 t2=163370 residual=129753 | 2.1s
[hunt] up to 1.000e+16 | primes=712758 t1=407443 t2=170201 residual=135114 | 2.2s
[hunt] up to 1.000e+16 | primes=741241 t1=423740 t2=177059 residual=140442 | 2.3s
[hunt] up to 1.000e+16 | primes=769749 t1=439917 t2=183892 residual=145940 | 2.4s
[hunt] up to 1.000e+16 | primes=798118 t1=456144 t2=190684 residual=151290 | 2.5s
[hunt] up to 1.000e+16 | primes=826481 t1=472332 t2=197487 residual=156662 | 2.6s
[hunt] up to 1.000e+16 | primes=854869 t1=488529 t2=204292 residual=162048 | 2.6s
[hunt] up to 1.000e+16 | primes=883186 t1=504782 t2=211021 residual=167383 | 2.7s
[hunt] up to 1.000e+16 | primes=911552 t1=520909 t2=217866 residual=172777 | 2.8s
[hunt] up to 1.000e+16 | primes=940074 t1=537293 t2=224638 residual=178143 | 2.9s
[hunt] up to 1.000e+16 | primes=968413 t1=553546 t2=231389 residual=183478 | 3.0s
[hunt] up to 1.000e+16 | primes=996787 t1=569904 t2=238166 residual=188717 | 3.1s
[hunt] up to 1.000e+16 | primes=1025071 t1=586066 t2=245042 residual=193963 | 3.2s
[hunt] up to 1.000e+16 | primes=1053428 t1=602100 t2=251824 residual=199504 | 3.3s
[hunt] up to 1.000e+16 | primes=1081906 t1=618285 t2=258724 residual=204897 | 3.3s
[hunt] up to 1.000e+16 | primes=1110274 t1=634568 t2=265479 residual=210227 | 3.4s
[hunt] up to 1.000e+16 | primes=1138985 t1=650998 t2=272388 residual=215599 | 3.5s
