[hunt] up to 1.000e+16 | primes=1804 cert=1804 resid_full=0 resid_partial=0 | 0.1s
[hunt] up to 1.000e+16 | primes=3592 cert=3592 resid_full=0 resid_partial=0 | 0.1s
[hunt] up to 1.000e+16 | primes=5364 cert=5364 resid_full=0 resid_partial=0 | 0.2s
[hunt] up to 1.000e+16 | primes=7135 cert=7135 resid_full=0 resid_partial=0 | 0.3s
[hunt] up to 1.000e+16 | primes=8965 cert=8965 resid_full=0 resid_partial=0 | 0.4s
[hunt] up to 1.000e+16 | primes=10737 cert=10737 resid_full=0 resid_partial=0 | 0.5s
[hunt] up to 1.000e+16 | primes=12505 cert=12505 resid_full=0 resid_partial=0 | 0.6s
[hunt] up to 1.000e+16 | primes=14283 cert=14283 resid_full=0 resid_partial=0 | 0.6s
[hunt] up to 1.000e+16 | primes=16143 cert=16143 resid_full=0 resid_partial=0 | 0.7s
[hunt] up to 1.000e+16 | primes=17948 cert=17948 resid_full=0 resid_partial=0 | 0.8s
[hunt] up to 1.000e+16 | primes=19727 cert=19727 resid_full=0 resid_partial=0 | 0.8s
[hunt] up to 1.000e+16 | primes=21521 cert=21521 resid_full=0 resid_partial=0 | 0.9s
[hunt] up to 1.000e+16 | primes=23351 cert=23351 resid_full=0 resid_partial=0 | 1.0s
[hunt] up to 1.000e+16 | primes=25127 cert=25127 resid_full=0 resid_partial=0 | 1.1s
[hunt] up to 1.000e+16 | primes=26905 cert=26905 resid_full=0 resid_partial=0 | 1.2s
[hunt] up to 1.000e+16 | primes=28726 cert=28726 resid_full=0 resid_partial=0 | 1.2s
[hunt] up to 1.000e+16 | primes=30510 cert=30510 resid_full=0 resid_partial=0 | 1.3s
[hunt] up to 1.000e+16 | primes=32271 cert=32271 resid_full=0 resid_partial=0 | 1.4s
[hunt] up to 1.000e+16 | primes=33996 cert=33996 resid_full=0 resid_partial=0 | 1.5s
[hunt] up to 1.000e+16 | primes=35813 cert=35813 resid_full=0 resid_partial=0 | 1.5s
[hunt] up to 1.000e+16 | primes=37527 cert=37527 resid_full=0 resid_partial=0 | 1.6s
[hunt] up to 1.000e+16 | primes=39269 cert=39269 resid_full=0 resid_partial=0 | 1.7s
[hunt] up to 1.000e+16 | primes=40993 cert=40993 resid_full=0 resid_partial=0 | 1.7s
[hunt] up to 1.000e+16 | primes=42780 cert=42780 resid_full=0 resid_partial=0 | 1.8s
[hunt] up to 1.000e+16 | primes=44456 cert=44456 resid_full=0 resid_partial=0 | 1.9s
[hunt] up to 1.000e+16 | primes=46184 cert=46184 resid_full=0 resid_partial=0 | 1.9s
[hunt] up to 1.000e+16 | primes=47947 cert=47947 resid_full=0 resid_partial=0 | 2.0s
[hunt] up to 1.000e+16 | primes=49676 cert=49676 resid_full=0 resid_partial=0 | 2.1s
[hunt] up to 1.000e+16 | primes=51472 cert=51472 resid_full=0 resid_partial=0 | 2.1s
[hunt] up to 1.000e+16 | primes=53245 cert=53245 resid_full=0 resid_partial=0 | 2.2s
[hunt] up to 1.000e+16 | primes=55043 cert=55043 resid_full=0 resid_partial=0 | 2.3s
[hunt] up to 1.000e+16 | primes=56822 cert=56822 resid_full=0 resid_partial=0 | 2.3s
[hunt] up to 1.000e+16 | primes=58583 cert=58583 resid_full=0 resid_partial=0 | 2.4s
[hunt] up to 1.000e+16 | primes=60379 cert=60379 resid_full=0 resid_partial=0 | 2.4s
[hunt] up to 1.000e+16 | primes=62177 cert=62177 resid_full=0 resid_partial=0 | 2.6s
[hunt] up to 1.000e+16 | primes=64015 cert=64015 resid_full=0 resid_partial=0 | 2.6s
